big_demand,prob_lead_demand
377,0.021496037545742318
378,0.021410686254101058
379,0.021266346947375173
380,0.02106426496597975
381,0.020806128573447852
382,0.020494046282827624
383,0.020130519259321224
384,0.0197184092931259
385,0.019260902900689322
386,0.018761472164345847
387,0.018223832958800812
388,0.017651901237793807
389,0.017049748065493153
390,0.016421554075108546
391,0.015771564022539972
392,0.015104042076577773
393,0.01442322845042787
394,0.013733297933521051
395,0.013038334415902303
396,0.0123422647395222
397,0.011648842905888352
398,0.010961620488628154
399,0.010283920858428896
400,0.00961881739640913
401,0.00896911580275275
402,0.0083373405402442091
403,0.0077257253880867478
404,0.0071362225214931544
405,0.0065704701988441071
406,0.0060298119039101095
407,0.0055153018350516938
408,0.0050277135741927607
409,0.0045675516244355376
410,0.0041350654781299925
411,0.0037302658571212949
412,0.0033529427538315335
413,0.0030026848957256445
414,0.0026789139265498618
415,0.0023808778701490526
416,0.0021076872923452522
417,0.0018583367050201884
418,0.0016317256231984712
419,0.0014266789875941254
420,0.0012419666979844686
421,0.0010763220387544781
422,0.00092845881599862583
423,0.000797087064595369
424,0.000680927222578998
425,0.00057872270785095585
426,0.00048925086781128615
427,0.00041133230500504779
428,0.00034383861071061431
429,0.00028569856310910121
430,0.00023590286706254559
431,0.0001935075286150594
432,0.00015763596933696545
433,0.00012747999393274419
434,0.00010229972960517302
435,8.1422658027249017E-05
436,6.4241860923655456E-05
437,5.0213598649786077E-05
438,3.8854338136247014E-05
439,2.9737342398246139E-05
440,2.2488928655459225E-05
441,1.6784496055971274E-05
442,1.2344417087119607E-05
443,8.92987901019145E-06
444,6.3387531132560274E-06
445,4.4015603138575928E-06
446,2.977591790884328E-06
447,1.9512330694286834E-06
448,1.228529560599368E-06
449,7.3402124144247281E-07
450,4.0786423360543687E-07
451,2.0324777912714194E-07
452,8.410676255100606E-08
453,2.3122685853620882E-08
